Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-03-26-025-XXV-NRSITZ-00067	ParlaMint-AT_2015-03-26-025-XXV-NRSITZ-00067_d7e537	Sitting Number 67, Legislative period XXV, Thursday, 26. March 2015	2015-03-26	Lower house	Legislative period XXV	-	-	Sitting 67	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-03-26-025-XXV-NRSITZ-00067	ParlaMint-AT_2015-03-26-025-XXV-NRSITZ-00067_d7e568	Sitting Number 67, Legislative period XXV, Thursday, 26. March 2015	2015-03-26	Lower house	Legislative period XXV	-	-	Sitting 67	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-03-26-025-XXV-NRSITZ-00067	ParlaMint-AT_2015-03-26-025-XXV-NRSITZ-00067_d7e815	Sitting Number 67, Legislative period XXV, Thursday, 26. March 2015	2015-03-26	Lower house	Legislative period XXV	-	-	Sitting 67	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
