Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-01-21-025-XXV-NRSITZ-00060	ParlaMint-AT_2015-01-21-025-XXV-NRSITZ-00060_d7e461	Sitting Number 60, Legislative period XXV, Wednesday, 21. January 2015	2015-01-21	Lower house	Legislative period XXV	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-01-21-025-XXV-NRSITZ-00060	ParlaMint-AT_2015-01-21-025-XXV-NRSITZ-00060_d7e498	Sitting Number 60, Legislative period XXV, Wednesday, 21. January 2015	2015-01-21	Lower house	Legislative period XXV	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-01-21-025-XXV-NRSITZ-00060	ParlaMint-AT_2015-01-21-025-XXV-NRSITZ-00060_d7e801	Sitting Number 60, Legislative period XXV, Wednesday, 21. January 2015	2015-01-21	Lower house	Legislative period XXV	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
