Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-11-12-025-XXV-NRSITZ-00103	ParlaMint-AT_2015-11-12-025-XXV-NRSITZ-00103_d7e379	Sitting Number 103, Legislative period XXV, Thursday, 12. November 2015	2015-11-12	Lower house	Legislative period XXV	-	-	Sitting 103	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-11-12-025-XXV-NRSITZ-00103	ParlaMint-AT_2015-11-12-025-XXV-NRSITZ-00103_d7e410	Sitting Number 103, Legislative period XXV, Thursday, 12. November 2015	2015-11-12	Lower house	Legislative period XXV	-	-	Sitting 103	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-11-12-025-XXV-NRSITZ-00103	ParlaMint-AT_2015-11-12-025-XXV-NRSITZ-00103_d7e587	Sitting Number 103, Legislative period XXV, Thursday, 12. November 2015	2015-11-12	Lower house	Legislative period XXV	-	-	Sitting 103	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
