Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-04-23-025-XXV-NRSITZ-00071	ParlaMint-AT_2015-04-23-025-XXV-NRSITZ-00071_d7e364	Sitting Number 71, Legislative period XXV, Thursday, 23. April 2015	2015-04-23	Lower house	Legislative period XXV	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-04-23-025-XXV-NRSITZ-00071	ParlaMint-AT_2015-04-23-025-XXV-NRSITZ-00071_d7e398	Sitting Number 71, Legislative period XXV, Thursday, 23. April 2015	2015-04-23	Lower house	Legislative period XXV	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-04-23-025-XXV-NRSITZ-00071	ParlaMint-AT_2015-04-23-025-XXV-NRSITZ-00071_d7e797	Sitting Number 71, Legislative period XXV, Thursday, 23. April 2015	2015-04-23	Lower house	Legislative period XXV	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
