Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-06-18-025-XXV-NRSITZ-00082	ParlaMint-AT_2015-06-18-025-XXV-NRSITZ-00082_d7e446	Sitting Number 82, Legislative period XXV, Thursday, 18. June 2015	2015-06-18	Lower house	Legislative period XXV	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-06-18-025-XXV-NRSITZ-00082	ParlaMint-AT_2015-06-18-025-XXV-NRSITZ-00082_d7e480	Sitting Number 82, Legislative period XXV, Thursday, 18. June 2015	2015-06-18	Lower house	Legislative period XXV	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-06-18-025-XXV-NRSITZ-00082	ParlaMint-AT_2015-06-18-025-XXV-NRSITZ-00082_d7e740	Sitting Number 82, Legislative period XXV, Thursday, 18. June 2015	2015-06-18	Lower house	Legislative period XXV	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
