Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-03-25-025-XXV-NRSITZ-00065	ParlaMint-AT_2015-03-25-025-XXV-NRSITZ-00065_d7e373	Sitting Number 65, Legislative period XXV, Wednesday, 25. March 2015	2015-03-25	Lower house	Legislative period XXV	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-03-25-025-XXV-NRSITZ-00065	ParlaMint-AT_2015-03-25-025-XXV-NRSITZ-00065_d7e404	Sitting Number 65, Legislative period XXV, Wednesday, 25. March 2015	2015-03-25	Lower house	Legislative period XXV	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-03-25-025-XXV-NRSITZ-00065	ParlaMint-AT_2015-03-25-025-XXV-NRSITZ-00065_d7e829	Sitting Number 65, Legislative period XXV, Wednesday, 25. March 2015	2015-03-25	Lower house	Legislative period XXV	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
