Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-05-20-025-XXV-NRSITZ-00074	ParlaMint-AT_2015-05-20-025-XXV-NRSITZ-00074_d7e558	Sitting Number 74, Legislative period XXV, Wednesday, 20. May 2015	2015-05-20	Lower house	Legislative period XXV	-	-	Sitting 74	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-05-20-025-XXV-NRSITZ-00074	ParlaMint-AT_2015-05-20-025-XXV-NRSITZ-00074_d7e589	Sitting Number 74, Legislative period XXV, Wednesday, 20. May 2015	2015-05-20	Lower house	Legislative period XXV	-	-	Sitting 74	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-05-20-025-XXV-NRSITZ-00074	ParlaMint-AT_2015-05-20-025-XXV-NRSITZ-00074_d7e1060	Sitting Number 74, Legislative period XXV, Wednesday, 20. May 2015	2015-05-20	Lower house	Legislative period XXV	-	-	Sitting 74	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
