Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-11-11-025-XXV-NRSITZ-00101	ParlaMint-AT_2015-11-11-025-XXV-NRSITZ-00101_d7e333	Sitting Number 101, Legislative period XXV, Wednesday, 11. November 2015	2015-11-11	Lower house	Legislative period XXV	-	-	Sitting 101	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-11-11-025-XXV-NRSITZ-00101	ParlaMint-AT_2015-11-11-025-XXV-NRSITZ-00101_d7e364	Sitting Number 101, Legislative period XXV, Wednesday, 11. November 2015	2015-11-11	Lower house	Legislative period XXV	-	-	Sitting 101	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-11-11-025-XXV-NRSITZ-00101	ParlaMint-AT_2015-11-11-025-XXV-NRSITZ-00101_d7e569	Sitting Number 101, Legislative period XXV, Wednesday, 11. November 2015	2015-11-11	Lower house	Legislative period XXV	-	-	Sitting 101	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
