Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-11-26-025-XXV-NRSITZ-00105	ParlaMint-AT_2015-11-26-025-XXV-NRSITZ-00105_d7e1857	Sitting Number 105, Legislative period XXV, Thursday, 26. November 2015	2015-11-26	Lower house	Legislative period XXV	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-11-26-025-XXV-NRSITZ-00105	ParlaMint-AT_2015-11-26-025-XXV-NRSITZ-00105_d7e1888	Sitting Number 105, Legislative period XXV, Thursday, 26. November 2015	2015-11-26	Lower house	Legislative period XXV	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-11-26-025-XXV-NRSITZ-00105	ParlaMint-AT_2015-11-26-025-XXV-NRSITZ-00105_d7e2387	Sitting Number 105, Legislative period XXV, Thursday, 26. November 2015	2015-11-26	Lower house	Legislative period XXV	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
