Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-06-17-025-XXV-NRSITZ-00080	ParlaMint-AT_2015-06-17-025-XXV-NRSITZ-00080_d7e508	Sitting Number 80, Legislative period XXV, Wednesday, 17. June 2015	2015-06-17	Lower house	Legislative period XXV	-	-	Sitting 80	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-06-17-025-XXV-NRSITZ-00080	ParlaMint-AT_2015-06-17-025-XXV-NRSITZ-00080_d7e542	Sitting Number 80, Legislative period XXV, Wednesday, 17. June 2015	2015-06-17	Lower house	Legislative period XXV	-	-	Sitting 80	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-06-17-025-XXV-NRSITZ-00080	ParlaMint-AT_2015-06-17-025-XXV-NRSITZ-00080_d7e943	Sitting Number 80, Legislative period XXV, Wednesday, 17. June 2015	2015-06-17	Lower house	Legislative period XXV	-	-	Sitting 80	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
