Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-05-21-025-XXV-NRSITZ-00076	ParlaMint-AT_2015-05-21-025-XXV-NRSITZ-00076_d7e656	Sitting Number 76, Legislative period XXV, Thursday, 21. May 2015	2015-05-21	Lower house	Legislative period XXV	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-05-21-025-XXV-NRSITZ-00076	ParlaMint-AT_2015-05-21-025-XXV-NRSITZ-00076_d7e687	Sitting Number 76, Legislative period XXV, Thursday, 21. May 2015	2015-05-21	Lower house	Legislative period XXV	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-05-21-025-XXV-NRSITZ-00076	ParlaMint-AT_2015-05-21-025-XXV-NRSITZ-00076_d7e910	Sitting Number 76, Legislative period XXV, Thursday, 21. May 2015	2015-05-21	Lower house	Legislative period XXV	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
