Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-10-06-025-XXV-NRSITZ-00095	ParlaMint-AT_2015-10-06-025-XXV-NRSITZ-00095_d7e333	Sitting Number 95, Legislative period XXV, Tuesday, 6. October 2015	2015-10-06	Lower house	Legislative period XXV	-	-	Sitting 95	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-10-06-025-XXV-NRSITZ-00095	ParlaMint-AT_2015-10-06-025-XXV-NRSITZ-00095_d7e364	Sitting Number 95, Legislative period XXV, Tuesday, 6. October 2015	2015-10-06	Lower house	Legislative period XXV	-	-	Sitting 95	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-10-06-025-XXV-NRSITZ-00095	ParlaMint-AT_2015-10-06-025-XXV-NRSITZ-00095_d7e507	Sitting Number 95, Legislative period XXV, Tuesday, 6. October 2015	2015-10-06	Lower house	Legislative period XXV	-	-	Sitting 95	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
