Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-12-10-025-XXV-NRSITZ-00110	ParlaMint-AT_2015-12-10-025-XXV-NRSITZ-00110_d7e370	Sitting Number 110, Legislative period XXV, Thursday, 10. December 2015	2015-12-10	Lower house	Legislative period XXV	-	-	Sitting 110	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-12-10-025-XXV-NRSITZ-00110	ParlaMint-AT_2015-12-10-025-XXV-NRSITZ-00110_d7e401	Sitting Number 110, Legislative period XXV, Thursday, 10. December 2015	2015-12-10	Lower house	Legislative period XXV	-	-	Sitting 110	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-12-10-025-XXV-NRSITZ-00110	ParlaMint-AT_2015-12-10-025-XXV-NRSITZ-00110_d7e638	Sitting Number 110, Legislative period XXV, Thursday, 10. December 2015	2015-12-10	Lower house	Legislative period XXV	-	-	Sitting 110	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
