Session,Date,Male,Female
ParlaMint-ES-PV-en_2015-02-05-meta.tsv,2015-02-05,13,8
ParlaMint-ES-PV-en_2015-02-12-meta.tsv,2015-02-12,9,7
ParlaMint-ES-PV-en_2015-02-13-meta.tsv,2015-02-13,13,10
ParlaMint-ES-PV-en_2015-02-19-meta.tsv,2015-02-19,12,10
ParlaMint-ES-PV-en_2015-02-27-meta.tsv,2015-02-27,13,14
ParlaMint-ES-PV-en_2015-03-05-meta.tsv,2015-03-05,9,13
ParlaMint-ES-PV-en_2015-03-06-meta.tsv,2015-03-06,13,10
ParlaMint-ES-PV-en_2015-03-12-meta.tsv,2015-03-12,9,8
ParlaMint-ES-PV-en_2015-03-13-meta.tsv,2015-03-13,13,13
ParlaMint-ES-PV-en_2015-03-26-meta.tsv,2015-03-26,9,4
ParlaMint-ES-PV-en_2015-03-27-meta.tsv,2015-03-27,11,7
ParlaMint-ES-PV-en_2015-04-16-meta.tsv,2015-04-16,12,12
ParlaMint-ES-PV-en_2015-04-17-meta.tsv,2015-04-17,13,12
ParlaMint-ES-PV-en_2015-04-23-meta.tsv,2015-04-23,11,11
ParlaMint-ES-PV-en_2015-04-24-meta.tsv,2015-04-24,12,11
ParlaMint-ES-PV-en_2015-04-30-meta.tsv,2015-04-30,14,13
ParlaMint-ES-PV-en_2015-05-07-meta.tsv,2015-05-07,17,8
ParlaMint-ES-PV-en_2015-05-28-meta.tsv,2015-05-28,12,10
ParlaMint-ES-PV-en_2015-05-29-meta.tsv,2015-05-29,9,14
ParlaMint-ES-PV-en_2015-06-04-meta.tsv,2015-06-04,7,10
ParlaMint-ES-PV-en_2015-06-11-meta.tsv,2015-06-11,14,8
ParlaMint-ES-PV-en_2015-06-12-meta.tsv,2015-06-12,10,13
ParlaMint-ES-PV-en_2015-06-18-meta.tsv,2015-06-18,12,10
ParlaMint-ES-PV-en_2015-06-25-meta.tsv,2015-06-25,12,13
ParlaMint-ES-PV-en_2015-06-26-meta.tsv,2015-06-26,12,12
ParlaMint-ES-PV-en_2015-06-30-meta.tsv,2015-06-30,3,7
ParlaMint-ES-PV-en_2015-07-13-meta.tsv,2015-07-13,4,3
ParlaMint-ES-PV-en_2015-09-24-meta.tsv,2015-09-24,4,3
ParlaMint-ES-PV-en_2015-10-01-meta.tsv,2015-10-01,11,16
ParlaMint-ES-PV-en_2015-10-02-meta.tsv,2015-10-02,13,14
ParlaMint-ES-PV-en_2015-10-08-meta.tsv,2015-10-08,11,12
ParlaMint-ES-PV-en_2015-10-15-meta.tsv,2015-10-15,15,11
ParlaMint-ES-PV-en_2015-10-16-meta.tsv,2015-10-16,16,11
ParlaMint-ES-PV-en_2015-10-22-meta.tsv,2015-10-22,11,8
ParlaMint-ES-PV-en_2015-10-29-meta.tsv,2015-10-29,12,10
ParlaMint-ES-PV-en_2015-10-30-meta.tsv,2015-10-30,12,12
ParlaMint-ES-PV-en_2015-11-12-meta.tsv,2015-11-12,14,11
ParlaMint-ES-PV-en_2015-11-13-meta.tsv,2015-11-13,14,6
ParlaMint-ES-PV-en_2015-11-19-meta.tsv,2015-11-19,10,11
ParlaMint-ES-PV-en_2015-11-26-meta.tsv,2015-11-26,13,9
ParlaMint-ES-PV-en_2015-11-27-meta.tsv,2015-11-27,9,13
ParlaMint-ES-PV-en_2015-12-03-meta.tsv,2015-12-03,4,4
