Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U1	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U2	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_savisaar_19780616	Savisaar, Erki	M	1978	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U3	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U4	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U5	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ü_madise_00000000	Madise, Ü	U	-	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U6	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U7	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	k_kallo_19481206	Kallo, Kalev	M	1948	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U8	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U9	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U10	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	j_madison_19910422	Madison, Jaak	M	1991	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U11	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U12	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	k_paal_00000000	Paal, K	U	-	
ParlaMint-EE-en_2019-05-14	ParlaMint-EE_2019-05-14_U13	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 14.05.2019, 10:00	2019-05-14	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
