Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-02-21	ParlaMint-EE_2019-02-21_U1	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 21.02.2019, 10:00	2019-02-21	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2019-02-21	ParlaMint-EE_2019-02-21_U2	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 21.02.2019, 10:00	2019-02-21	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2019-02-21	ParlaMint-EE_2019-02-21_U3	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 21.02.2019, 10:00	2019-02-21	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2019-02-21	ParlaMint-EE_2019-02-21_U4	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 21.02.2019, 10:00	2019-02-21	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
