Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U1	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U2	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U3	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U4	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U5	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U6	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U7	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U8	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U9	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U10	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U11	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U12	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2019-12-09	ParlaMint-EE_2019-12-09_U13	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 09.12.2019, 15:00	2019-12-09	Unicameralism	XIV Riigikogu	II regular session	-	2019-12-09	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
