Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-04-08	ParlaMint-EE_2019-04-08_U1	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 08.04.2019, 15:00	2019-04-08	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-08	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-04-08	ParlaMint-EE_2019-04-08_U2	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 08.04.2019, 15:00	2019-04-08	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-08	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-04-08	ParlaMint-EE_2019-04-08_U3	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 08.04.2019, 15:00	2019-04-08	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-08	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_lotman_19520902	Lotman, Mihhail	M	1952	
ParlaMint-EE-en_2019-04-08	ParlaMint-EE_2019-04-08_U4	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 08.04.2019, 15:00	2019-04-08	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-08	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-04-08	ParlaMint-EE_2019-04-08_U5	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 08.04.2019, 15:00	2019-04-08	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-08	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
