Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U1	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U2	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U3	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	o_loone_19790205	Loone, Kerstin-Oudekki	F	1979	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U4	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U5	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	j_adams_19471122	Adams, Jüri	M	1947	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U6	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U7	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U8	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U9	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_karilaid_19770201	Karilaid, Jaanus	M	1977	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U10	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U11	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Regular	MP	notMinister	-	-	-	-	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2019-02-18	ParlaMint-EE_2019-02-18_U12	XIII Parliament term, IX Session, Plenary Assembly regular meeting on Monday, 18.02.2019, 15:00	2019-02-18	Unicameralism	XIII Riigikogu	IX regular session	-	2019-02-18	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
