Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U1	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U2	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	a_sõerd_19641122	Sõerd, Aivar	M	1964	
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U3	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U4	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	a_sõerd_19641122	Sõerd, Aivar	M	1964	
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U5	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U6	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	a_sõerd_19641122	Sõerd, Aivar	M	1964	
ParlaMint-EE-en_2019-05-02	ParlaMint-EE_2019-05-02_U7	XIV Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 02.05.2019, 10:00	2019-05-02	Unicameralism	XIV Riigikogu	I regular session	-	2019-05-02	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
