Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U1	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U2	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U3	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U4	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U5	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	k_michal_19750712	Michal, Kristen	M	1975	
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U6	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-10-14	ParlaMint-EE_2019-10-14_U7	XIV Parliament term, II Session, Plenary Assembly regular meeting on Monday, 14.10.2019, 15:00	2019-10-14	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-14	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
