Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U1	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U2	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	a_korobeinik_19801105	Korobeinik, Andrei	M	1980	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U3	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U4	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U5	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	p_puustusmaa_19640905	Puustusmaa, Paul	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U6	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U7	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U8	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U9	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	k_saare_00000000	Saare, K	U	-	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U10	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U11	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	k_saare_00000000	Saare, K	U	-	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U12	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U13	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	k_saare_00000000	Saare, K	U	-	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U14	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U15	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	r_kaalep_19930921	Kaalep, Ruuben	M	1993	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U16	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	k_saare_00000000	Saare, K	U	-	
ParlaMint-EE-en_2019-10-24	ParlaMint-EE_2019-10-24_U17	XIV Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.10.2019, 10:00	2019-10-24	Unicameralism	XIV Riigikogu	II regular session	-	2019-10-24	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
