Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U1	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U2	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U3	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U4	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_nutt_19620321	Nutt, Mart	M	1962	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U5	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U6	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_nutt_19620321	Nutt, Mart	M	1962	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U7	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U8	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U9	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U10	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U11	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	k_kallas_19770618	Kallas, Kaja	F	1977	
ParlaMint-EE-en_2013-06-13	ParlaMint-EE_2013-06-13_U12	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 13.06.2013, 10:00	2013-06-13	Unicameralism	XII Riigikogu	V regular session	-	2013-06-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
