Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U1	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U2	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_reps_19750113	Reps, Mailis	F	1975	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U3	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U4	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	j_allik_19461008	Allik, Jaak	M	1946	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U5	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U6	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	h_lenk_19460917	Lenk, Heimar	M	1946	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U7	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U8	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U9	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	h_lenk_19460917	Lenk, Heimar	M	1946	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U10	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-11-18	ParlaMint-EE_2013-11-18_U11	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 18.11.2013, 15:00	2013-11-18	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-18	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	s_mikser_19731108	Mikser, Sven	M	1973	
