Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U1	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U2	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U3	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U4	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U5	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U6	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U7	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	h_lenk_19460917	Lenk, Heimar	M	1946	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U8	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U9	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	o_sõtnik_19801202	Sõtnik, Olga	F	1980	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U10	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U11	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_tuus_laul_19510512	Tuus-Laul, Marika	F	1951	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U12	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U13	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2013-12-09	ParlaMint-EE_2013-12-09_U14	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 09.12.2013, 15:00	2013-12-09	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
