Session,Date,Male,Female
ParlaMint-ES-GA-en_2015-01-26-DSPGDP007-meta.tsv,2015-01-26,4,5
ParlaMint-ES-GA-en_2015-01-27-DSPG095-meta.tsv,2015-01-27,6,7
ParlaMint-ES-GA-en_2015-02-10-DSPG096-meta.tsv,2015-02-10,16,17
ParlaMint-ES-GA-en_2015-02-11-DSPG097-meta.tsv,2015-02-11,14,15
ParlaMint-ES-GA-en_2015-02-24-DSPG098-meta.tsv,2015-02-24,14,15
ParlaMint-ES-GA-en_2015-02-25-DSPG099-meta.tsv,2015-02-25,21,14
ParlaMint-ES-GA-en_2015-03-10-DSPG100-meta.tsv,2015-03-10,20,13
ParlaMint-ES-GA-en_2015-03-11-DSPG101-meta.tsv,2015-03-11,15,17
ParlaMint-ES-GA-en_2015-03-24-DSPG102-meta.tsv,2015-03-24,19,12
ParlaMint-ES-GA-en_2015-03-25-DSPG103-meta.tsv,2015-03-25,22,15
ParlaMint-ES-GA-en_2015-04-14-DSPG104-meta.tsv,2015-04-14,22,14
ParlaMint-ES-GA-en_2015-04-15-DSPG105-meta.tsv,2015-04-15,18,13
ParlaMint-ES-GA-en_2015-04-28-DSPG106-meta.tsv,2015-04-28,21,13
ParlaMint-ES-GA-en_2015-04-29-DSPG107-meta.tsv,2015-04-29,22,19
ParlaMint-ES-GA-en_2015-05-05-DSPG108-meta.tsv,2015-05-05,17,18
ParlaMint-ES-GA-en_2015-05-06-DSPG109-meta.tsv,2015-05-06,22,15
ParlaMint-ES-GA-en_2015-05-26-DSPG110-meta.tsv,2015-05-26,16,18
ParlaMint-ES-GA-en_2015-05-27-DSPG111-meta.tsv,2015-05-27,23,14
ParlaMint-ES-GA-en_2015-06-09-DSPG112-meta.tsv,2015-06-09,20,15
ParlaMint-ES-GA-en_2015-06-10-DSPG113-meta.tsv,2015-06-10,21,17
ParlaMint-ES-GA-en_2015-06-22-DSPG114-meta.tsv,2015-06-22,4,2
ParlaMint-ES-GA-en_2015-06-22-DSPG115-meta.tsv,2015-06-22,15,15
ParlaMint-ES-GA-en_2015-06-23-DSPG116-meta.tsv,2015-06-23,19,16
ParlaMint-ES-GA-en_2015-07-23-DSPGDP008-meta.tsv,2015-07-23,7,7
ParlaMint-ES-GA-en_2015-08-03-DSPG117-meta.tsv,2015-08-03,11,4
ParlaMint-ES-GA-en_2015-08-04-DSPG118-meta.tsv,2015-08-04,8,8
ParlaMint-ES-GA-en_2015-08-04-DSPG119-meta.tsv,2015-08-04,7,7
ParlaMint-ES-GA-en_2015-09-15-DSPG120-meta.tsv,2015-09-15,11,17
ParlaMint-ES-GA-en_2015-09-16-DSPG121-meta.tsv,2015-09-16,19,17
ParlaMint-ES-GA-en_2015-09-29-DSPG122-meta.tsv,2015-09-29,20,13
ParlaMint-ES-GA-en_2015-09-30-DSPG123-meta.tsv,2015-09-30,26,14
ParlaMint-ES-GA-en_2015-10-14-DSPG124-meta.tsv,2015-10-14,7,3
ParlaMint-ES-GA-en_2015-10-16-DSPG125-meta.tsv,2015-10-16,2,7
ParlaMint-ES-GA-en_2015-10-27-DSPG126-meta.tsv,2015-10-27,14,17
ParlaMint-ES-GA-en_2015-10-28-DSPG127-meta.tsv,2015-10-28,18,8
ParlaMint-ES-GA-en_2015-11-10-DSPG128-meta.tsv,2015-11-10,19,16
ParlaMint-ES-GA-en_2015-11-11-DSPG129-meta.tsv,2015-11-11,18,17
ParlaMint-ES-GA-en_2015-11-23-DSPG130-meta.tsv,2015-11-23,7,5
ParlaMint-ES-GA-en_2015-11-24-DSPG131-meta.tsv,2015-11-24,15,15
ParlaMint-ES-GA-en_2015-11-25-DSPG132-meta.tsv,2015-11-25,17,16
ParlaMint-ES-GA-en_2015-12-01-DSPG133-meta.tsv,2015-12-01,17,12
ParlaMint-ES-GA-en_2015-12-02-DSPG134-meta.tsv,2015-12-02,20,15
ParlaMint-ES-GA-en_2015-12-22-DSPG135-meta.tsv,2015-12-22,6,7
ParlaMint-ES-GA-en_2015-12-23-DSPG136-meta.tsv,2015-12-23,1,1
ParlaMint-ES-GA-en_2015-12-23-DSPG137-meta.tsv,2015-12-23,17,14
ParlaMint-ES-GA-en_2016-01-26-DSPG138-meta.tsv,2016-01-26,21,18
ParlaMint-ES-GA-en_2016-01-27-DSPG139-meta.tsv,2016-01-27,22,18
ParlaMint-ES-GA-en_2016-02-09-DSPG140-meta.tsv,2016-02-09,15,13
ParlaMint-ES-GA-en_2016-02-10-DSPG141-meta.tsv,2016-02-10,24,15
ParlaMint-ES-GA-en_2016-02-23-DSPG142-meta.tsv,2016-02-23,14,15
ParlaMint-ES-GA-en_2016-02-24-DSPG143-meta.tsv,2016-02-24,22,17
ParlaMint-ES-GA-en_2016-03-15-DSPG144-meta.tsv,2016-03-15,14,17
ParlaMint-ES-GA-en_2016-03-16-DSPG145-meta.tsv,2016-03-16,23,14
ParlaMint-ES-GA-en_2016-03-29-DSPG146-meta.tsv,2016-03-29,13,14
ParlaMint-ES-GA-en_2016-03-30-DSPG147-meta.tsv,2016-03-30,21,16
ParlaMint-ES-GA-en_2016-04-12-DSPG148-meta.tsv,2016-04-12,18,14
ParlaMint-ES-GA-en_2016-04-13-DSPG149-meta.tsv,2016-04-13,22,16
ParlaMint-ES-GA-en_2016-04-26-DSPG150-meta.tsv,2016-04-26,19,14
ParlaMint-ES-GA-en_2016-04-27-DSPG151-meta.tsv,2016-04-27,20,13
ParlaMint-ES-GA-en_2016-05-10-DSPG152-meta.tsv,2016-05-10,18,16
ParlaMint-ES-GA-en_2016-05-11-DSPG153-meta.tsv,2016-05-11,24,14
ParlaMint-ES-GA-en_2016-05-24-DSPG154-meta.tsv,2016-05-24,13,14
ParlaMint-ES-GA-en_2016-05-25-DSPG155-meta.tsv,2016-05-25,21,17
ParlaMint-ES-GA-en_2016-06-07-DSPG156-meta.tsv,2016-06-07,20,9
ParlaMint-ES-GA-en_2016-06-08-DSPG157-meta.tsv,2016-06-08,19,15
ParlaMint-ES-GA-en_2016-06-28-DSPG158-meta.tsv,2016-06-28,8,11
ParlaMint-ES-GA-en_2016-06-29-DSPG159-meta.tsv,2016-06-29,24,20
ParlaMint-ES-GA-en_2016-07-12-DSPG160-meta.tsv,2016-07-12,1,0
ParlaMint-ES-GA-en_2016-07-12-DSPG161-meta.tsv,2016-07-12,22,17
ParlaMint-ES-GA-en_2016-07-13-DSPG162-meta.tsv,2016-07-13,21,19
ParlaMint-ES-GA-en_2016-10-21-DSPG001-meta.tsv,2016-10-21,42,34
ParlaMint-ES-GA-en_2016-11-08-DSPG002-meta.tsv,2016-11-08,2,1
ParlaMint-ES-GA-en_2016-11-10-DSPG003-meta.tsv,2016-11-10,41,33
ParlaMint-ES-GA-en_2016-11-15-DSPG004-meta.tsv,2016-11-15,1,1
ParlaMint-ES-GA-en_2016-11-22-DSPG005-meta.tsv,2016-11-22,14,12
ParlaMint-ES-GA-en_2016-11-23-DSPG006-meta.tsv,2016-11-23,19,10
ParlaMint-ES-GA-en_2016-12-13-DSPG007-meta.tsv,2016-12-13,19,15
ParlaMint-ES-GA-en_2016-12-14-DSPG008-meta.tsv,2016-12-14,12,8
ParlaMint-ES-GA-en_2016-12-27-DSPG009-meta.tsv,2016-12-27,15,16
ParlaMint-ES-GA-en_2016-12-28-DSPG010-meta.tsv,2016-12-28,14,12
ParlaMint-ES-GA-en_2017-01-16-DSPG011-meta.tsv,2017-01-16,9,5
ParlaMint-ES-GA-en_2017-01-24-DSPG012-meta.tsv,2017-01-24,16,10
ParlaMint-ES-GA-en_2017-01-25-DSPG013-meta.tsv,2017-01-25,19,14
ParlaMint-ES-GA-en_2017-02-06-DSPG014-meta.tsv,2017-02-06,11,6
ParlaMint-ES-GA-en_2017-02-07-DSPG015-meta.tsv,2017-02-07,19,12
ParlaMint-ES-GA-en_2017-02-08-DSPG016-meta.tsv,2017-02-08,26,18
ParlaMint-ES-GA-en_2017-02-21-DSPG017-meta.tsv,2017-02-21,19,9
ParlaMint-ES-GA-en_2017-02-22-DSPG018-meta.tsv,2017-02-22,22,16
ParlaMint-ES-GA-en_2017-03-07-DSPG019-meta.tsv,2017-03-07,18,16
ParlaMint-ES-GA-en_2017-03-08-DSPG020-meta.tsv,2017-03-08,19,17
ParlaMint-ES-GA-en_2017-03-21-DSPG021-meta.tsv,2017-03-21,20,12
ParlaMint-ES-GA-en_2017-03-22-DSPG022-meta.tsv,2017-03-22,23,16
ParlaMint-ES-GA-en_2017-04-04-DSPG023-meta.tsv,2017-04-04,21,14
ParlaMint-ES-GA-en_2017-04-05-DSPG024-meta.tsv,2017-04-05,20,8
ParlaMint-ES-GA-en_2017-04-25-DSPG025-meta.tsv,2017-04-25,19,14
ParlaMint-ES-GA-en_2017-04-26-DSPG026-meta.tsv,2017-04-26,16,13
ParlaMint-ES-GA-en_2017-05-09-DSPG027-meta.tsv,2017-05-09,18,17
ParlaMint-ES-GA-en_2017-05-10-DSPG028-meta.tsv,2017-05-10,22,13
ParlaMint-ES-GA-en_2017-05-23-DSPG029-meta.tsv,2017-05-23,16,14
ParlaMint-ES-GA-en_2017-05-24-DSPG030-meta.tsv,2017-05-24,20,14
