Session,Date,Coalition,Opposition
ParlaMint-ES-GA-en_2015-01-26-DSPGDP007-meta.tsv,2015-01-26,3,5
ParlaMint-ES-GA-en_2015-01-27-DSPG095-meta.tsv,2015-01-27,5,6
ParlaMint-ES-GA-en_2015-02-10-DSPG096-meta.tsv,2015-02-10,11,19
ParlaMint-ES-GA-en_2015-02-11-DSPG097-meta.tsv,2015-02-11,10,15
ParlaMint-ES-GA-en_2015-02-24-DSPG098-meta.tsv,2015-02-24,10,17
ParlaMint-ES-GA-en_2015-02-25-DSPG099-meta.tsv,2015-02-25,13,18
ParlaMint-ES-GA-en_2015-03-10-DSPG100-meta.tsv,2015-03-10,11,18
ParlaMint-ES-GA-en_2015-03-11-DSPG101-meta.tsv,2015-03-11,13,15
ParlaMint-ES-GA-en_2015-03-24-DSPG102-meta.tsv,2015-03-24,10,19
ParlaMint-ES-GA-en_2015-03-25-DSPG103-meta.tsv,2015-03-25,13,20
ParlaMint-ES-GA-en_2015-04-14-DSPG104-meta.tsv,2015-04-14,13,21
ParlaMint-ES-GA-en_2015-04-15-DSPG105-meta.tsv,2015-04-15,12,15
ParlaMint-ES-GA-en_2015-04-28-DSPG106-meta.tsv,2015-04-28,13,18
ParlaMint-ES-GA-en_2015-04-29-DSPG107-meta.tsv,2015-04-29,15,21
ParlaMint-ES-GA-en_2015-05-05-DSPG108-meta.tsv,2015-05-05,14,19
ParlaMint-ES-GA-en_2015-05-06-DSPG109-meta.tsv,2015-05-06,14,18
ParlaMint-ES-GA-en_2015-05-26-DSPG110-meta.tsv,2015-05-26,12,19
ParlaMint-ES-GA-en_2015-05-27-DSPG111-meta.tsv,2015-05-27,13,19
ParlaMint-ES-GA-en_2015-06-09-DSPG112-meta.tsv,2015-06-09,12,20
ParlaMint-ES-GA-en_2015-06-10-DSPG113-meta.tsv,2015-06-10,14,19
ParlaMint-ES-GA-en_2015-06-22-DSPG114-meta.tsv,2015-06-22,3,3
ParlaMint-ES-GA-en_2015-06-22-DSPG115-meta.tsv,2015-06-22,11,16
ParlaMint-ES-GA-en_2015-06-23-DSPG116-meta.tsv,2015-06-23,14,17
ParlaMint-ES-GA-en_2015-07-23-DSPGDP008-meta.tsv,2015-07-23,5,8
ParlaMint-ES-GA-en_2015-08-03-DSPG117-meta.tsv,2015-08-03,5,8
ParlaMint-ES-GA-en_2015-08-04-DSPG118-meta.tsv,2015-08-04,6,8
ParlaMint-ES-GA-en_2015-08-04-DSPG119-meta.tsv,2015-08-04,5,6
ParlaMint-ES-GA-en_2015-09-15-DSPG120-meta.tsv,2015-09-15,9,16
ParlaMint-ES-GA-en_2015-09-16-DSPG121-meta.tsv,2015-09-16,12,19
ParlaMint-ES-GA-en_2015-09-29-DSPG122-meta.tsv,2015-09-29,13,17
ParlaMint-ES-GA-en_2015-09-30-DSPG123-meta.tsv,2015-09-30,16,20
ParlaMint-ES-GA-en_2015-10-14-DSPG124-meta.tsv,2015-10-14,5,3
ParlaMint-ES-GA-en_2015-10-16-DSPG125-meta.tsv,2015-10-16,4,3
ParlaMint-ES-GA-en_2015-10-27-DSPG126-meta.tsv,2015-10-27,11,16
ParlaMint-ES-GA-en_2015-10-28-DSPG127-meta.tsv,2015-10-28,11,13
ParlaMint-ES-GA-en_2015-11-10-DSPG128-meta.tsv,2015-11-10,12,21
ParlaMint-ES-GA-en_2015-11-11-DSPG129-meta.tsv,2015-11-11,15,16
ParlaMint-ES-GA-en_2015-11-23-DSPG130-meta.tsv,2015-11-23,5,6
ParlaMint-ES-GA-en_2015-11-24-DSPG131-meta.tsv,2015-11-24,8,18
ParlaMint-ES-GA-en_2015-11-25-DSPG132-meta.tsv,2015-11-25,13,16
ParlaMint-ES-GA-en_2015-12-01-DSPG133-meta.tsv,2015-12-01,10,17
ParlaMint-ES-GA-en_2015-12-02-DSPG134-meta.tsv,2015-12-02,15,16
ParlaMint-ES-GA-en_2015-12-22-DSPG135-meta.tsv,2015-12-22,6,6
ParlaMint-ES-GA-en_2015-12-23-DSPG136-meta.tsv,2015-12-23,2,0
ParlaMint-ES-GA-en_2015-12-23-DSPG137-meta.tsv,2015-12-23,9,18
ParlaMint-ES-GA-en_2016-01-26-DSPG138-meta.tsv,2016-01-26,13,21
ParlaMint-ES-GA-en_2016-01-27-DSPG139-meta.tsv,2016-01-27,15,20
ParlaMint-ES-GA-en_2016-02-09-DSPG140-meta.tsv,2016-02-09,10,15
ParlaMint-ES-GA-en_2016-02-10-DSPG141-meta.tsv,2016-02-10,14,20
ParlaMint-ES-GA-en_2016-02-23-DSPG142-meta.tsv,2016-02-23,11,15
ParlaMint-ES-GA-en_2016-02-24-DSPG143-meta.tsv,2016-02-24,13,21
ParlaMint-ES-GA-en_2016-03-15-DSPG144-meta.tsv,2016-03-15,10,18
ParlaMint-ES-GA-en_2016-03-16-DSPG145-meta.tsv,2016-03-16,14,20
ParlaMint-ES-GA-en_2016-03-29-DSPG146-meta.tsv,2016-03-29,12,13
ParlaMint-ES-GA-en_2016-03-30-DSPG147-meta.tsv,2016-03-30,13,20
ParlaMint-ES-GA-en_2016-04-12-DSPG148-meta.tsv,2016-04-12,12,18
ParlaMint-ES-GA-en_2016-04-13-DSPG149-meta.tsv,2016-04-13,13,19
ParlaMint-ES-GA-en_2016-04-26-DSPG150-meta.tsv,2016-04-26,12,19
ParlaMint-ES-GA-en_2016-04-27-DSPG151-meta.tsv,2016-04-27,11,19
ParlaMint-ES-GA-en_2016-05-10-DSPG152-meta.tsv,2016-05-10,12,20
ParlaMint-ES-GA-en_2016-05-11-DSPG153-meta.tsv,2016-05-11,15,19
ParlaMint-ES-GA-en_2016-05-24-DSPG154-meta.tsv,2016-05-24,8,16
ParlaMint-ES-GA-en_2016-05-25-DSPG155-meta.tsv,2016-05-25,13,20
ParlaMint-ES-GA-en_2016-06-07-DSPG156-meta.tsv,2016-06-07,9,17
ParlaMint-ES-GA-en_2016-06-08-DSPG157-meta.tsv,2016-06-08,13,16
ParlaMint-ES-GA-en_2016-06-28-DSPG158-meta.tsv,2016-06-28,9,9
ParlaMint-ES-GA-en_2016-06-29-DSPG159-meta.tsv,2016-06-29,14,25
ParlaMint-ES-GA-en_2016-07-12-DSPG160-meta.tsv,2016-07-12,1,0
ParlaMint-ES-GA-en_2016-07-12-DSPG161-meta.tsv,2016-07-12,16,20
ParlaMint-ES-GA-en_2016-07-13-DSPG162-meta.tsv,2016-07-13,14,22
ParlaMint-ES-GA-en_2016-10-21-DSPG001-meta.tsv,2016-10-21,41,34
ParlaMint-ES-GA-en_2016-11-08-DSPG002-meta.tsv,2016-11-08,3,0
ParlaMint-ES-GA-en_2016-11-10-DSPG003-meta.tsv,2016-11-10,41,33
ParlaMint-ES-GA-en_2016-11-15-DSPG004-meta.tsv,2016-11-15,2,0
ParlaMint-ES-GA-en_2016-11-22-DSPG005-meta.tsv,2016-11-22,12,14
ParlaMint-ES-GA-en_2016-11-23-DSPG006-meta.tsv,2016-11-23,13,16
ParlaMint-ES-GA-en_2016-12-13-DSPG007-meta.tsv,2016-12-13,13,21
ParlaMint-ES-GA-en_2016-12-14-DSPG008-meta.tsv,2016-12-14,8,12
ParlaMint-ES-GA-en_2016-12-27-DSPG009-meta.tsv,2016-12-27,10,21
ParlaMint-ES-GA-en_2016-12-28-DSPG010-meta.tsv,2016-12-28,12,14
ParlaMint-ES-GA-en_2017-01-16-DSPG011-meta.tsv,2017-01-16,6,8
ParlaMint-ES-GA-en_2017-01-24-DSPG012-meta.tsv,2017-01-24,10,16
ParlaMint-ES-GA-en_2017-01-25-DSPG013-meta.tsv,2017-01-25,15,18
ParlaMint-ES-GA-en_2017-02-06-DSPG014-meta.tsv,2017-02-06,10,7
ParlaMint-ES-GA-en_2017-02-07-DSPG015-meta.tsv,2017-02-07,10,20
ParlaMint-ES-GA-en_2017-02-08-DSPG016-meta.tsv,2017-02-08,16,24
ParlaMint-ES-GA-en_2017-02-21-DSPG017-meta.tsv,2017-02-21,10,17
ParlaMint-ES-GA-en_2017-02-22-DSPG018-meta.tsv,2017-02-22,12,24
ParlaMint-ES-GA-en_2017-03-07-DSPG019-meta.tsv,2017-03-07,10,23
ParlaMint-ES-GA-en_2017-03-08-DSPG020-meta.tsv,2017-03-08,13,19
ParlaMint-ES-GA-en_2017-03-21-DSPG021-meta.tsv,2017-03-21,11,20
ParlaMint-ES-GA-en_2017-03-22-DSPG022-meta.tsv,2017-03-22,13,23
ParlaMint-ES-GA-en_2017-04-04-DSPG023-meta.tsv,2017-04-04,11,22
ParlaMint-ES-GA-en_2017-04-05-DSPG024-meta.tsv,2017-04-05,13,13
ParlaMint-ES-GA-en_2017-04-25-DSPG025-meta.tsv,2017-04-25,10,21
ParlaMint-ES-GA-en_2017-04-26-DSPG026-meta.tsv,2017-04-26,11,14
ParlaMint-ES-GA-en_2017-05-09-DSPG027-meta.tsv,2017-05-09,14,21
ParlaMint-ES-GA-en_2017-05-10-DSPG028-meta.tsv,2017-05-10,13,19
ParlaMint-ES-GA-en_2017-05-23-DSPG029-meta.tsv,2017-05-23,11,17
ParlaMint-ES-GA-en_2017-05-24-DSPG030-meta.tsv,2017-05-24,12,18
ParlaMint-ES-GA-en_2017-06-06-DSPG031-meta.tsv,2017-06-06,13,22
ParlaMint-ES-GA-en_2017-06-07-DSPG032-meta.tsv,2017-06-07,12,22
ParlaMint-ES-GA-en_2017-06-20-DSPG033-meta.tsv,2017-06-20,12,21
ParlaMint-ES-GA-en_2017-06-21-DSPG034-meta.tsv,2017-06-21,11,16
ParlaMint-ES-GA-en_2017-07-11-DSPG035-meta.tsv,2017-07-11,10,17
ParlaMint-ES-GA-en_2017-07-12-DSPG036-meta.tsv,2017-07-12,12,23
ParlaMint-ES-GA-en_2017-08-01-DSPG037-meta.tsv,2017-08-01,2,3
ParlaMint-ES-GA-en_2017-09-12-DSPG038-meta.tsv,2017-09-12,10,19
ParlaMint-ES-GA-en_2017-09-13-DSPG039-meta.tsv,2017-09-13,14,18
ParlaMint-ES-GA-en_2017-09-26-DSPG040-meta.tsv,2017-09-26,11,20
ParlaMint-ES-GA-en_2017-09-27-DSPG041-meta.tsv,2017-09-27,14,20
ParlaMint-ES-GA-en_2017-10-04-DSPG042-meta.tsv,2017-10-04,3,3
ParlaMint-ES-GA-en_2017-10-06-DSPG043-meta.tsv,2017-10-06,3,3
ParlaMint-ES-GA-en_2017-10-17-DSPG044-meta.tsv,2017-10-17,12,19
ParlaMint-ES-GA-en_2017-10-18-DSPG045-meta.tsv,2017-10-18,15,24
ParlaMint-ES-GA-en_2017-11-07-DSPG046-meta.tsv,2017-11-07,13,18
ParlaMint-ES-GA-en_2017-11-08-DSPG047-meta.tsv,2017-11-08,12,21
ParlaMint-ES-GA-en_2017-11-20-DSPG048-meta.tsv,2017-11-20,5,9
ParlaMint-ES-GA-en_2017-11-21-DSPG049-meta.tsv,2017-11-21,11,19
ParlaMint-ES-GA-en_2017-11-22-DSPG050-meta.tsv,2017-11-22,8,15
ParlaMint-ES-GA-en_2017-12-04-DSPG051-meta.tsv,2017-12-04,12,19
ParlaMint-ES-GA-en_2017-12-05-DSPG052-meta.tsv,2017-12-05,15,17
ParlaMint-ES-GA-en_2017-12-19-DSPG053-meta.tsv,2017-12-19,4,6
ParlaMint-ES-GA-en_2017-12-19-DSPG054-meta.tsv,2017-12-19,8,12
ParlaMint-ES-GA-en_2017-12-20-DSPG055-meta.tsv,2017-12-20,13,20
ParlaMint-ES-GA-en_2018-01-18-DSPG096-meta.tsv,2018-01-18,4,6
ParlaMint-ES-GA-en_2018-01-23-DSPG056-meta.tsv,2018-01-23,11,18
ParlaMint-ES-GA-en_2018-01-24-DSPG057-meta.tsv,2018-01-24,13,21
ParlaMint-ES-GA-en_2018-02-06-DSPG058-meta.tsv,2018-02-06,12,20
ParlaMint-ES-GA-en_2018-02-07-DSPG059-meta.tsv,2018-02-07,12,18
ParlaMint-ES-GA-en_2018-02-20-DSPG060-meta.tsv,2018-02-20,15,22
ParlaMint-ES-GA-en_2018-02-21-DSPG061-meta.tsv,2018-02-21,10,21
ParlaMint-ES-GA-en_2018-03-06-DSPG062-meta.tsv,2018-03-06,11,16
ParlaMint-ES-GA-en_2018-03-07-DSPG063-meta.tsv,2018-03-07,11,17
ParlaMint-ES-GA-en_2018-03-20-DSPG064-meta.tsv,2018-03-20,12,18
ParlaMint-ES-GA-en_2018-03-21-DSPG065-meta.tsv,2018-03-21,13,22
ParlaMint-ES-GA-en_2018-04-10-DSPG066-meta.tsv,2018-04-10,10,16
ParlaMint-ES-GA-en_2018-04-11-DSPG067-meta.tsv,2018-04-11,14,21
ParlaMint-ES-GA-en_2018-04-24-DSPG068-meta.tsv,2018-04-24,7,13
ParlaMint-ES-GA-en_2018-04-25-DSPG069-meta.tsv,2018-04-25,13,22
ParlaMint-ES-GA-en_2018-05-08-DSPG070-meta.tsv,2018-05-08,10,20
ParlaMint-ES-GA-en_2018-05-09-DSPG071-meta.tsv,2018-05-09,15,23
ParlaMint-ES-GA-en_2018-05-22-DSPG072-meta.tsv,2018-05-22,10,19
