Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2022-04-21	ParlaMint-PT_2022-04-21.u1	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 7	2022-04-21	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 7	21.04.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-04-21	ParlaMint-PT_2022-04-21.u2	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 7	2022-04-21	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 7	21.04.2022	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	VolodymyrOlexandrovytchZelensky	Olexandrovytch Zelensky, Volodymyr	M	1978	
ParlaMint-PT-en_2022-04-21	ParlaMint-PT_2022-04-21.u3	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 7	2022-04-21	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 7	21.04.2022	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	VolodymyrOlexandrovytchZelensky	Olexandrovytch Zelensky, Volodymyr	M	1978	
