Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2018-07-03-SDZ8-Izredna-01	ParlaMint-SI_2018-07-03-SDZ8-Izredna-01.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 1, (03. 07. 2018)	2018-07-03	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ToninMatej	Tonin, Matej	M	1983	
ParlaMint-SI-en_2018-07-03-SDZ8-Izredna-01	ParlaMint-SI_2018-07-03-SDZ8-Izredna-01.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 1, (03. 07. 2018)	2018-07-03	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	TrčekFranc	Trček, Franc	M	1969	
ParlaMint-SI-en_2018-07-03-SDZ8-Izredna-01	ParlaMint-SI_2018-07-03-SDZ8-Izredna-01.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 1, (03. 07. 2018)	2018-07-03	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ToninMatej	Tonin, Matej	M	1983	
ParlaMint-SI-en_2018-07-03-SDZ8-Izredna-01	ParlaMint-SI_2018-07-03-SDZ8-Izredna-01.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 1, (03. 07. 2018)	2018-07-03	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SNS	Slovenian National Party	-	Right to far-right	JelinčičPlemenitiZmago	Jelinčič, Zmago	M	1948	
ParlaMint-SI-en_2018-07-03-SDZ8-Izredna-01	ParlaMint-SI_2018-07-03-SDZ8-Izredna-01.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 1, (03. 07. 2018)	2018-07-03	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ToninMatej	Tonin, Matej	M	1983	
