Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e102	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ED	Dalheim, Erik	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e260	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e263	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e281	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e301	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e313	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e327	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e341	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e403	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e410	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-17-upper	ParlaMint-NO_1998-12-17-upper.ana.ud2243e427	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-17	1998-12-17	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
