Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-11-16	ParlaMint-NO_1998-11-16.ana.ud576e25	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-16	1998-11-16	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-16	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1998-11-16	ParlaMint-NO_1998-11-16.ana.ud576e60	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-16	1998-11-16	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-16	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_1998-11-16	ParlaMint-NO_1998-11-16.ana.ud576e71	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-16	1998-11-16	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-16	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.RQH	Haarstad, Ragnhild Queseth	F	1939	
ParlaMint-NO-en_1998-11-16	ParlaMint-NO_1998-11-16.ana.ud576e86	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-16	1998-11-16	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-16	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1998-11-16	ParlaMint-NO_1998-11-16.ana.ud576e94	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-16	1998-11-16	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-16	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1998-11-16	ParlaMint-NO_1998-11-16.ana.ud576e115	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-16	1998-11-16	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-16	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
