Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e36	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJH	Hernæs, Bjørn	M	1936	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e44	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e56	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BHI	Hildeng, Britt	F	1943	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e79	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JIA	Alvheim, John I.	M	1930	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e94	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e120	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e125	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e132	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e146	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-01-lower	ParlaMint-NO_1998-12-01-lower.ana.ud2579e151	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-01	1998-12-01	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-01	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
