Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-11-19	ParlaMint-NO_1998-11-19.ana.ud86e23	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-19	1998-11-19	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_1998-11-19	ParlaMint-NO_1998-11-19.ana.ud86e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-19	1998-11-19	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-19	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KVO	Vollebæk, Knut	M	1946	
ParlaMint-NO-en_1998-11-19	ParlaMint-NO_1998-11-19.ana.ud86e209	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-19	1998-11-19	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_1998-11-19	ParlaMint-NO_1998-11-19.ana.ud86e218	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-19	1998-11-19	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
