Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e50	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e65	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ILH	Husøy, Inger Lise	F	1957	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e120	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e134	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.LK	Kaland, Laila	F	1939	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e166	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e180	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e189	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e203	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1998-10-29	ParlaMint-NO_1998-10-29.ana.ud2158e217	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-10-29	1998-10-29	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-10-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
