Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e75	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e98	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e114	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e143	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e153	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e165	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1998-12-03-upper	ParlaMint-NO_1998-12-03-upper.ana.ud2584e193	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
