Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e37	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e51	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e65	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e76	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e190	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e195	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e206	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e219	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JH	Holte, Jørgen	M	1944	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e230	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e241	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e250	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e259	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e263	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e312	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e315	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.INGS	Sørfonn, Ingebrigt S.	M	1950	
ParlaMint-NO-en_1998-12-03-lower	ParlaMint-NO_1998-12-03-lower.ana.ud126e349	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-12-03	1998-12-03	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-12-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
