Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Regular	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	TomasDubsky.1973	Dubský, Tomáš	M	1973	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	TomasDubsky.1973	Dubský, Tomáš	M	1973	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	TomasDubsky.1973	Dubský, Tomáš	M	1973	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-002-099	ParlaMint-CZ_2023-07-12-ps2021-070-05-002-099.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/099	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
