Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Guest	MP	Minister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VitRakusan.1978	Rakušan, Vít	M	1978	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	EliskaOlsakova.1968	Olšáková, Eliška	F	1968	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RobertStrzinek.1968	Stržínek, Robert	M	1968	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	VojtechMunzar.1976	Munzar, Vojtěch	M	1976	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2023-05-31-ps2021-065-05-004-022	ParlaMint-CZ_2023-05-31-ps2021-065-05-004-022.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-31	2023-05-31	Lower house	ps2021	-	ps2021/065	ps2021/065/05	ps2021/065/022	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
