Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Regular	notMP	Minister	-	-	-	-	ZdenekNekula.1970	Nekula, Zdeněk	M	1970	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	KlaraKocmanova.1992	Kocmanová, Klára	F	1992	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	StanislavFridrich.1956	Fridrich, Stanislav	M	1956	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	KlaraKocmanova.1992	Kocmanová, Klára	F	1992	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	BerenikaPestova.1971	Peštová, Berenika	F	1971	
ParlaMint-CZ-en_2023-04-18-ps2021-063-03-003-001	ParlaMint-CZ_2023-04-18-ps2021-063-03-003-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-04-18	2023-04-18	Lower house	ps2021	-	ps2021/063	ps2021/063/03	ps2021/063/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
