Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	KlaraKocmanova.1992	Kocmanová, Klára	F	1992	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	StanislavFridrich.1956	Fridrich, Stanislav	M	1956	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-004-006	ParlaMint-CZ_2023-01-11-ps2021-050-02-004-006.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
