Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKukla.1982	Kukla, Martin	M	1982	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadovanVich.1964	Vích, Radovan	M	1964	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKukla.1982	Kukla, Martin	M	1982	
ParlaMint-CZ-en_2023-01-25-ps2021-050-06-007-102	ParlaMint-CZ_2023-01-25-ps2021-050-06-007-102.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-25	2023-01-25	Lower house	ps2021	-	ps2021/050	ps2021/050/06	ps2021/050/102	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
