Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	AlesDufek.1973	Dufek, Aleš	M	1973	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	AlesDufek.1973	Dufek, Aleš	M	1973	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	AlesDufek.1973	Dufek, Aleš	M	1973	
ParlaMint-CZ-en_2023-02-24-ps2021-053-04-003-093	ParlaMint-CZ_2023-02-24-ps2021-053-04-003-093.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-24	2023-02-24	Lower house	ps2021	-	ps2021/053	ps2021/053/04	ps2021/053/093	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
