Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрСергійовичЄфремов.1954	Jefremov, Oleksandr Serhijovyč	M	1954	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ВікторФедоровичЯнукович.1950	Janukovyč, Viktor Fedorovyč	M	1950	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	ІванГригоровичКириленко.1956	Kyrylenko, Ivan Hryhorovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	МиколаВолодимировичМартиненко.1961	Martynenko, Mykola Volodymyrovyč	M	1961	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2009-09-22-m1	ParlaMint-UA_2009-09-22-m1.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2009-09-22, n1	2009-09-22	Unicameralism	6	5	-	2009-09-22	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	Opposition	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
