Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-12-10-025-XXV-NRSITZ-00054	ParlaMint-AT_2014-12-10-025-XXV-NRSITZ-00054_d7e479	Sitting Number 54, Legislative period XXV, Wednesday, 10. December 2014	2014-12-10	Lower house	Legislative period XXV	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-12-10-025-XXV-NRSITZ-00054	ParlaMint-AT_2014-12-10-025-XXV-NRSITZ-00054_d7e516	Sitting Number 54, Legislative period XXV, Wednesday, 10. December 2014	2014-12-10	Lower house	Legislative period XXV	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-12-10-025-XXV-NRSITZ-00054	ParlaMint-AT_2014-12-10-025-XXV-NRSITZ-00054_d7e696	Sitting Number 54, Legislative period XXV, Wednesday, 10. December 2014	2014-12-10	Lower house	Legislative period XXV	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
