Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-10-22-025-XXV-NRSITZ-00045	ParlaMint-AT_2014-10-22-025-XXV-NRSITZ-00045_d7e377	Sitting Number 45, Legislative period XXV, Wednesday, 22. October 2014	2014-10-22	Lower house	Legislative period XXV	-	-	Sitting 45	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-10-22-025-XXV-NRSITZ-00045	ParlaMint-AT_2014-10-22-025-XXV-NRSITZ-00045_d7e408	Sitting Number 45, Legislative period XXV, Wednesday, 22. October 2014	2014-10-22	Lower house	Legislative period XXV	-	-	Sitting 45	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-10-22-025-XXV-NRSITZ-00045	ParlaMint-AT_2014-10-22-025-XXV-NRSITZ-00045_d7e870	Sitting Number 45, Legislative period XXV, Wednesday, 22. October 2014	2014-10-22	Lower house	Legislative period XXV	-	-	Sitting 45	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
