Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-07-08-025-XXV-NRSITZ-00035	ParlaMint-AT_2014-07-08-025-XXV-NRSITZ-00035_d7e361	Sitting Number 35, Legislative period XXV, Tuesday, 8. July 2014	2014-07-08	Lower house	Legislative period XXV	-	-	Sitting 35	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2014-07-08-025-XXV-NRSITZ-00035	ParlaMint-AT_2014-07-08-025-XXV-NRSITZ-00035_d7e395	Sitting Number 35, Legislative period XXV, Tuesday, 8. July 2014	2014-07-08	Lower house	Legislative period XXV	-	-	Sitting 35	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2014-07-08-025-XXV-NRSITZ-00035	ParlaMint-AT_2014-07-08-025-XXV-NRSITZ-00035_d7e672	Sitting Number 35, Legislative period XXV, Tuesday, 8. July 2014	2014-07-08	Lower house	Legislative period XXV	-	-	Sitting 35	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
