Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-10-23-025-XXV-NRSITZ-00047	ParlaMint-AT_2014-10-23-025-XXV-NRSITZ-00047_d7e443	Sitting Number 47, Legislative period XXV, Thursday, 23. October 2014	2014-10-23	Lower house	Legislative period XXV	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-10-23-025-XXV-NRSITZ-00047	ParlaMint-AT_2014-10-23-025-XXV-NRSITZ-00047_d7e474	Sitting Number 47, Legislative period XXV, Thursday, 23. October 2014	2014-10-23	Lower house	Legislative period XXV	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-10-23-025-XXV-NRSITZ-00047	ParlaMint-AT_2014-10-23-025-XXV-NRSITZ-00047_d7e804	Sitting Number 47, Legislative period XXV, Thursday, 23. October 2014	2014-10-23	Lower house	Legislative period XXV	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
