Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-05-23-025-XXV-NRSITZ-00029	ParlaMint-AT_2014-05-23-025-XXV-NRSITZ-00029_d7e333	Sitting Number 29, Legislative period XXV, Friday, 23. May 2014	2014-05-23	Lower house	Legislative period XXV	-	-	Sitting 29	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-05-23-025-XXV-NRSITZ-00029	ParlaMint-AT_2014-05-23-025-XXV-NRSITZ-00029_d7e364	Sitting Number 29, Legislative period XXV, Friday, 23. May 2014	2014-05-23	Lower house	Legislative period XXV	-	-	Sitting 29	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-05-23-025-XXV-NRSITZ-00029	ParlaMint-AT_2014-05-23-025-XXV-NRSITZ-00029_d7e425	Sitting Number 29, Legislative period XXV, Friday, 23. May 2014	2014-05-23	Lower house	Legislative period XXV	-	-	Sitting 29	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
