Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-11-20-025-XXV-NRSITZ-00052	ParlaMint-AT_2014-11-20-025-XXV-NRSITZ-00052_d7e608	Sitting Number 52, Legislative period XXV, Thursday, 20. November 2014	2014-11-20	Lower house	Legislative period XXV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2014-11-20-025-XXV-NRSITZ-00052	ParlaMint-AT_2014-11-20-025-XXV-NRSITZ-00052_d7e639	Sitting Number 52, Legislative period XXV, Thursday, 20. November 2014	2014-11-20	Lower house	Legislative period XXV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2014-11-20-025-XXV-NRSITZ-00052	ParlaMint-AT_2014-11-20-025-XXV-NRSITZ-00052_d7e1045	Sitting Number 52, Legislative period XXV, Thursday, 20. November 2014	2014-11-20	Lower house	Legislative period XXV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
