Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-02-25-025-XXV-NRSITZ-00015	ParlaMint-AT_2014-02-25-025-XXV-NRSITZ-00015_d7e352	Sitting Number 15, Legislative period XXV, Tuesday, 25. February 2014	2014-02-25	Lower house	Legislative period XXV	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-02-25-025-XXV-NRSITZ-00015	ParlaMint-AT_2014-02-25-025-XXV-NRSITZ-00015_d7e386	Sitting Number 15, Legislative period XXV, Tuesday, 25. February 2014	2014-02-25	Lower house	Legislative period XXV	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-02-25-025-XXV-NRSITZ-00015	ParlaMint-AT_2014-02-25-025-XXV-NRSITZ-00015_d7e651	Sitting Number 15, Legislative period XXV, Tuesday, 25. February 2014	2014-02-25	Lower house	Legislative period XXV	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
