Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-09-24-025-XXV-NRSITZ-00042	ParlaMint-AT_2014-09-24-025-XXV-NRSITZ-00042_d7e398	Sitting Number 42, Legislative period XXV, Wednesday, 24. September 2014	2014-09-24	Lower house	Legislative period XXV	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-09-24-025-XXV-NRSITZ-00042	ParlaMint-AT_2014-09-24-025-XXV-NRSITZ-00042_d7e429	Sitting Number 42, Legislative period XXV, Wednesday, 24. September 2014	2014-09-24	Lower house	Legislative period XXV	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-09-24-025-XXV-NRSITZ-00042	ParlaMint-AT_2014-09-24-025-XXV-NRSITZ-00042_d7e1029	Sitting Number 42, Legislative period XXV, Wednesday, 24. September 2014	2014-09-24	Lower house	Legislative period XXV	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
