Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-04-29-025-XXV-NRSITZ-00022	ParlaMint-AT_2014-04-29-025-XXV-NRSITZ-00022_d7e711	Sitting Number 22, Legislative period XXV, Tuesday, 29. April 2014	2014-04-29	Lower house	Legislative period XXV	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-04-29-025-XXV-NRSITZ-00022	ParlaMint-AT_2014-04-29-025-XXV-NRSITZ-00022_d7e742	Sitting Number 22, Legislative period XXV, Tuesday, 29. April 2014	2014-04-29	Lower house	Legislative period XXV	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-04-29-025-XXV-NRSITZ-00022	ParlaMint-AT_2014-04-29-025-XXV-NRSITZ-00022_d7e1058	Sitting Number 22, Legislative period XXV, Tuesday, 29. April 2014	2014-04-29	Lower house	Legislative period XXV	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
