Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-04-30-025-XXV-NRSITZ-00024	ParlaMint-AT_2014-04-30-025-XXV-NRSITZ-00024_d7e385	Sitting Number 24, Legislative period XXV, Wednesday, 30. April 2014	2014-04-30	Lower house	Legislative period XXV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-04-30-025-XXV-NRSITZ-00024	ParlaMint-AT_2014-04-30-025-XXV-NRSITZ-00024_d7e416	Sitting Number 24, Legislative period XXV, Wednesday, 30. April 2014	2014-04-30	Lower house	Legislative period XXV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-04-30-025-XXV-NRSITZ-00024	ParlaMint-AT_2014-04-30-025-XXV-NRSITZ-00024_d7e565	Sitting Number 24, Legislative period XXV, Wednesday, 30. April 2014	2014-04-30	Lower house	Legislative period XXV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
