Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-01-29-025-XXV-NRSITZ-00010	ParlaMint-AT_2014-01-29-025-XXV-NRSITZ-00010_d7e361	Sitting Number 10, Legislative period XXV, Wednesday, 29. January 2014	2014-01-29	Lower house	Legislative period XXV	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-01-29-025-XXV-NRSITZ-00010	ParlaMint-AT_2014-01-29-025-XXV-NRSITZ-00010_d7e392	Sitting Number 10, Legislative period XXV, Wednesday, 29. January 2014	2014-01-29	Lower house	Legislative period XXV	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-01-29-025-XXV-NRSITZ-00010	ParlaMint-AT_2014-01-29-025-XXV-NRSITZ-00010_d7e1184	Sitting Number 10, Legislative period XXV, Wednesday, 29. January 2014	2014-01-29	Lower house	Legislative period XXV	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
