Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-03-27-025-XXV-NRSITZ-00019	ParlaMint-AT_2014-03-27-025-XXV-NRSITZ-00019_d7e771	Sitting Number 19, Legislative period XXV, Thursday, 27. March 2014	2014-03-27	Lower house	Legislative period XXV	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-03-27-025-XXV-NRSITZ-00019	ParlaMint-AT_2014-03-27-025-XXV-NRSITZ-00019_d7e799	Sitting Number 19, Legislative period XXV, Thursday, 27. March 2014	2014-03-27	Lower house	Legislative period XXV	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-03-27-025-XXV-NRSITZ-00019	ParlaMint-AT_2014-03-27-025-XXV-NRSITZ-00019_d7e868	Sitting Number 19, Legislative period XXV, Thursday, 27. March 2014	2014-03-27	Lower house	Legislative period XXV	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-03-27-025-XXV-NRSITZ-00019	ParlaMint-AT_2014-03-27-025-XXV-NRSITZ-00019_d7e1293	Sitting Number 19, Legislative period XXV, Thursday, 27. March 2014	2014-03-27	Lower house	Legislative period XXV	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-03-27-025-XXV-NRSITZ-00019	ParlaMint-AT_2014-03-27-025-XXV-NRSITZ-00019_d7e1412	Sitting Number 19, Legislative period XXV, Thursday, 27. March 2014	2014-03-27	Lower house	Legislative period XXV	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-03-27-025-XXV-NRSITZ-00019	ParlaMint-AT_2014-03-27-025-XXV-NRSITZ-00019_d7e1449	Sitting Number 19, Legislative period XXV, Thursday, 27. March 2014	2014-03-27	Lower house	Legislative period XXV	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
