Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-02-24-025-XXV-NRSITZ-00013	ParlaMint-AT_2014-02-24-025-XXV-NRSITZ-00013_d7e370	Sitting Number 13, Legislative period XXV, Monday, 24. February 2014	2014-02-24	Lower house	Legislative period XXV	-	-	Sitting 13	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-02-24-025-XXV-NRSITZ-00013	ParlaMint-AT_2014-02-24-025-XXV-NRSITZ-00013_d7e401	Sitting Number 13, Legislative period XXV, Monday, 24. February 2014	2014-02-24	Lower house	Legislative period XXV	-	-	Sitting 13	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-02-24-025-XXV-NRSITZ-00013	ParlaMint-AT_2014-02-24-025-XXV-NRSITZ-00013_d7e750	Sitting Number 13, Legislative period XXV, Monday, 24. February 2014	2014-02-24	Lower house	Legislative period XXV	-	-	Sitting 13	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
