Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-11-19-025-XXV-NRSITZ-00050	ParlaMint-AT_2014-11-19-025-XXV-NRSITZ-00050_d7e541	Sitting Number 50, Legislative period XXV, Wednesday, 19. November 2014	2014-11-19	Lower house	Legislative period XXV	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-11-19-025-XXV-NRSITZ-00050	ParlaMint-AT_2014-11-19-025-XXV-NRSITZ-00050_d7e572	Sitting Number 50, Legislative period XXV, Wednesday, 19. November 2014	2014-11-19	Lower house	Legislative period XXV	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-11-19-025-XXV-NRSITZ-00050	ParlaMint-AT_2014-11-19-025-XXV-NRSITZ-00050_d7e1026	Sitting Number 50, Legislative period XXV, Wednesday, 19. November 2014	2014-11-19	Lower house	Legislative period XXV	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
