Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-12-11-025-XXV-NRSITZ-00056	ParlaMint-AT_2014-12-11-025-XXV-NRSITZ-00056_d7e361	Sitting Number 56, Legislative period XXV, Thursday, 11. December 2014	2014-12-11	Lower house	Legislative period XXV	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-12-11-025-XXV-NRSITZ-00056	ParlaMint-AT_2014-12-11-025-XXV-NRSITZ-00056_d7e398	Sitting Number 56, Legislative period XXV, Thursday, 11. December 2014	2014-12-11	Lower house	Legislative period XXV	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2014-12-11-025-XXV-NRSITZ-00056	ParlaMint-AT_2014-12-11-025-XXV-NRSITZ-00056_d7e630	Sitting Number 56, Legislative period XXV, Thursday, 11. December 2014	2014-12-11	Lower house	Legislative period XXV	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
