Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-07-10-025-XXV-NRSITZ-00038	ParlaMint-AT_2014-07-10-025-XXV-NRSITZ-00038_d7e428	Sitting Number 38, Legislative period XXV, Thursday, 10. July 2014	2014-07-10	Lower house	Legislative period XXV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-07-10-025-XXV-NRSITZ-00038	ParlaMint-AT_2014-07-10-025-XXV-NRSITZ-00038_d7e462	Sitting Number 38, Legislative period XXV, Thursday, 10. July 2014	2014-07-10	Lower house	Legislative period XXV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-07-10-025-XXV-NRSITZ-00038	ParlaMint-AT_2014-07-10-025-XXV-NRSITZ-00038_d7e639	Sitting Number 38, Legislative period XXV, Thursday, 10. July 2014	2014-07-10	Lower house	Legislative period XXV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-07-10-025-XXV-NRSITZ-00038	ParlaMint-AT_2014-07-10-025-XXV-NRSITZ-00038_d7e685	Sitting Number 38, Legislative period XXV, Thursday, 10. July 2014	2014-07-10	Lower house	Legislative period XXV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-07-10-025-XXV-NRSITZ-00038	ParlaMint-AT_2014-07-10-025-XXV-NRSITZ-00038_d7e716	Sitting Number 38, Legislative period XXV, Thursday, 10. July 2014	2014-07-10	Lower house	Legislative period XXV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2014-07-10-025-XXV-NRSITZ-00038	ParlaMint-AT_2014-07-10-025-XXV-NRSITZ-00038_d7e772	Sitting Number 38, Legislative period XXV, Thursday, 10. July 2014	2014-07-10	Lower house	Legislative period XXV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
