Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-04-22-020-XX-NRSITZ-00167	ParlaMint-AT_1999-04-22-020-XX-NRSITZ-00167_d7e365	Sitting Number 167, Legislative period XX, Thursday, 22. April 1999	1999-04-22	Lower house	Legislative period XX	-	-	Sitting 167	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1999-04-22-020-XX-NRSITZ-00167	ParlaMint-AT_1999-04-22-020-XX-NRSITZ-00167_d7e396	Sitting Number 167, Legislative period XX, Thursday, 22. April 1999	1999-04-22	Lower house	Legislative period XX	-	-	Sitting 167	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1999-04-22-020-XX-NRSITZ-00167	ParlaMint-AT_1999-04-22-020-XX-NRSITZ-00167_d7e544	Sitting Number 167, Legislative period XX, Thursday, 22. April 1999	1999-04-22	Lower house	Legislative period XX	-	-	Sitting 167	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
