Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-03-24-020-XX-NRSITZ-00163	ParlaMint-AT_1999-03-24-020-XX-NRSITZ-00163_d7e427	Sitting Number 163, Legislative period XX, Wednesday, 24. March 1999	1999-03-24	Lower house	Legislative period XX	-	-	Sitting 163	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1999-03-24-020-XX-NRSITZ-00163	ParlaMint-AT_1999-03-24-020-XX-NRSITZ-00163_d7e458	Sitting Number 163, Legislative period XX, Wednesday, 24. March 1999	1999-03-24	Lower house	Legislative period XX	-	-	Sitting 163	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1999-03-24-020-XX-NRSITZ-00163	ParlaMint-AT_1999-03-24-020-XX-NRSITZ-00163_d7e716	Sitting Number 163, Legislative period XX, Wednesday, 24. March 1999	1999-03-24	Lower house	Legislative period XX	-	-	Sitting 163	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
