Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-12-15-021-XXI-NRSITZ-00005	ParlaMint-AT_1999-12-15-021-XXI-NRSITZ-00005_d7e342	Sitting Number 5, Legislative period XXI, Wednesday, 15. December 1999	1999-12-15	Lower house	Legislative period XXI	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1999-12-15-021-XXI-NRSITZ-00005	ParlaMint-AT_1999-12-15-021-XXI-NRSITZ-00005_d7e373	Sitting Number 5, Legislative period XXI, Wednesday, 15. December 1999	1999-12-15	Lower house	Legislative period XXI	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1999-12-15-021-XXI-NRSITZ-00005	ParlaMint-AT_1999-12-15-021-XXI-NRSITZ-00005_d7e556	Sitting Number 5, Legislative period XXI, Wednesday, 15. December 1999	1999-12-15	Lower house	Legislative period XXI	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
