Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-05-20-020-XX-NRSITZ-00170	ParlaMint-AT_1999-05-20-020-XX-NRSITZ-00170_d7e418	Sitting Number 170, Legislative period XX, Thursday, 20. May 1999	1999-05-20	Lower house	Legislative period XX	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1999-05-20-020-XX-NRSITZ-00170	ParlaMint-AT_1999-05-20-020-XX-NRSITZ-00170_d7e449	Sitting Number 170, Legislative period XX, Thursday, 20. May 1999	1999-05-20	Lower house	Legislative period XX	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1999-05-20-020-XX-NRSITZ-00170	ParlaMint-AT_1999-05-20-020-XX-NRSITZ-00170_d7e713	Sitting Number 170, Legislative period XX, Thursday, 20. May 1999	1999-05-20	Lower house	Legislative period XX	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
