Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-05-20-020-XX-NRSITZ-00172	ParlaMint-AT_1999-05-20-020-XX-NRSITZ-00172_d7e405	Sitting Number 172, Legislative period XX, Thursday, 20. May 1999	1999-05-20	Lower house	Legislative period XX	-	-	Sitting 172	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1999-05-20-020-XX-NRSITZ-00172	ParlaMint-AT_1999-05-20-020-XX-NRSITZ-00172_d7e436	Sitting Number 172, Legislative period XX, Thursday, 20. May 1999	1999-05-20	Lower house	Legislative period XX	-	-	Sitting 172	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1999-05-20-020-XX-NRSITZ-00172	ParlaMint-AT_1999-05-20-020-XX-NRSITZ-00172_d7e559	Sitting Number 172, Legislative period XX, Thursday, 20. May 1999	1999-05-20	Lower house	Legislative period XX	-	-	Sitting 172	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
